Trans_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Total_Revenue,Unit_Cost,Category_Name,Avg_Region_Shipping_Cost,Shipping_Cost,Category,Avg_Monthly_Category_Marketing_Cost,Marketing_Cost,Net_Profit
1,2024-07-02 17:15:00,3.0,125,200,2,9000.0,3086.0,Audio,488.0,488.0,Audio,,,
2,2023-07-01 13:52:00,11.0,136,883,1,2500.0,1606.0,Printers,488.0,488.0,Printers,,,
3,2025-01-05 18:56:00,7.0,106,669,1,320000.0,198987.0,Computers,992.3333333333334,992.3333333333334,Computers,,,
4,2024-08-01 13:27:00,2.0,125,848,1,4500.0,3086.0,Audio,992.3333333333334,992.3333333333334,Audio,,,
5,2023-04-30 13:45:00,10.0,113,963,1,58000.0,37157.0,Smartphones,,,Smartphones,,,
6,2024-06-25 19:46:00,11.0,136,537,1,2500.0,1606.0,Printers,488.0,488.0,Printers,,,
7,2024-02-15 18:40:00,2.0,118,615,3,10500.0,2473.0,Smartphones,,,Smartphones,,,
8,2023-07-30 12:00:00,1.0,137,596,2,4400.0,1422.0,Printers,,,Printers,,,
9,2023-04-06 13:40:00,6.0,125,861,1,4500.0,3086.0,Audio,,,Audio,,,
10,2025-09-12 10:59:00,2.0,137,703,1,2200.0,1422.0,Printers,541.75,541.75,Printers,,,
11,2025-03-27 12:18:00,3.0,112,554,1,38000.0,25796.0,Smartphones,541.75,541.75,Smartphones,,,
12,2024-11-10 17:46:00,9.0,115,403,1,230000.0,161913.0,Smartphones,541.75,541.75,Smartphones,,,
13,2025-09-11 14:24:00,1.0,127,117,1,9500.0,6907.0,Audio,541.75,541.75,Audio,,,
14,2025-02-05 16:10:00,4.0,121,885,3,2400.0,526.0,Smartphones,488.0,488.0,Smartphones,,,
15,2024-02-12 16:57:00,7.0,109,1035,1,42000.0,31127.0,Computers,,,Computers,,,
16,2024-07-15 13:12:00,2.0,136,161,1,2500.0,1606.0,Printers,488.0,488.0,Printers,,,
17,2024-10-19 12:02:00,5.0,137,494,2,4400.0,1422.0,Printers,488.0,488.0,Printers,,,
18,2023-03-23 20:26:00,2.0,132,855,1,38000.0,23961.0,Printers,488.0,488.0,Printers,,,
19,2023-04-19 09:22:00,6.0,101,519,1,260000.0,167880.0,Computers,488.0,488.0,Computers,,,
20,2025-01-04 17:18:00,9.0,117,593,1,290000.0,209699.0,Smartphones,,,Smartphones,,,
21,2024-06-09 14:21:00,1.0,119,1036,1,2800.0,1695.0,Smartphones,,,Smartphones,,,
22,2023-01-29 12:19:00,2.0,120,1068,3,4500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
23,2023-05-28 13:13:00,4.0,137,1051,2,4400.0,1422.0,Printers,992.3333333333334,992.3333333333334,Printers,,,
24,2025-09-06 13:55:00,1.0,120,1102,1,1500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
25,2024-07-02 15:56:00,1.0,121,868,5,4000.0,526.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
26,2024-07-02 17:20:00,8.0,110,88,1,24000.0,15039.0,Computers,488.0,488.0,Computers,,,
27,2025-07-06 11:30:00,1.0,118,1012,2,7000.0,2473.0,Smartphones,488.0,488.0,Smartphones,,,
28,2025-01-14 17:17:00,7.0,124,559,1,48000.0,33033.0,Audio,488.0,488.0,Audio,,,
29,2024-10-29 10:22:00,6.0,120,1179,2,3000.0,1029.0,Smartphones,488.0,488.0,Smartphones,,,
30,2023-08-11 15:11:00,3.0,137,542,5,11000.0,1422.0,Printers,488.0,488.0,Printers,,,
31,2025-10-18 18:44:00,9.0,136,683,3,7500.0,1606.0,Printers,992.3333333333334,992.3333333333334,Printers,,,
32,2024-10-19 15:01:00,5.0,109,228,1,42000.0,31127.0,Computers,992.3333333333334,992.3333333333334,Computers,,,
33,2025-05-09 15:32:00,1.0,135,500,1,12000.0,8606.0,Printers,488.0,488.0,Printers,,,
34,2024-04-03 15:24:00,6.0,120,611,2,3000.0,1029.0,Smartphones,,,Smartphones,,,
35,2025-10-11 13:36:00,4.0,125,273,2,9000.0,3086.0,Audio,488.0,488.0,Audio,,,
36,2025-09-27 15:31:00,1.0,133,216,1,45000.0,32905.0,Printers,,,Printers,,,
37,2023-06-26 10:01:00,5.0,137,80,5,11000.0,1422.0,Printers,488.0,488.0,Printers,,,
38,2023-10-04 11:02:00,3.0,118,785,2,7000.0,2473.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
39,2025-06-23 19:05:00,3.0,133,471,1,45000.0,32905.0,Printers,992.3333333333334,992.3333333333334,Printers,,,
40,2025-03-13 16:24:00,3.0,134,602,1,28000.0,17855.0,Printers,541.75,541.75,Printers,,,
41,2025-02-22 12:13:00,11.0,137,530,3,6600.0,1422.0,Printers,488.0,488.0,Printers,,,
42,2024-08-10 09:36:00,10.0,115,1168,1,230000.0,161913.0,Smartphones,541.75,541.75,Smartphones,,,
43,2024-01-20 12:30:00,5.0,109,831,1,42000.0,31127.0,Computers,992.3333333333334,992.3333333333334,Computers,,,
44,2023-01-08 15:53:00,3.0,119,1154,1,2800.0,1695.0,Smartphones,488.0,488.0,Smartphones,,,
45,2024-08-30 12:23:00,6.0,119,957,2,5600.0,1695.0,Smartphones,488.0,488.0,Smartphones,,,
46,2025-11-09 16:31:00,6.0,120,121,1,1500.0,1029.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
47,2024-12-21 19:37:00,2.0,113,383,1,58000.0,37157.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
48,2024-01-11 14:40:00,6.0,125,281,1,4500.0,3086.0,Audio,992.3333333333334,992.3333333333334,Audio,,,
49,2025-01-04 12:34:00,1.0,121,936,1,800.0,526.0,Smartphones,992.3333333333334,992.3333333333334,Smartphones,,,
50,2025-01-31 16:26:00,4.0,118,38,2,7000.0,2473.0,Smartphones,488.0,488.0,Smartphones,,,
